"Issue key","Summary","Issue Type","Status","Status Date","Story Points","assignee","Reporter","Project Key","Project Name","Priority","Parent Summary","Sprint","Labels","Cycle Time","Story testing-1","Design","Vulnerability","Flagged","Fix versions","Partner","Time tracking","Story point estimate","QA","Feature/Operation","Story testing-2","Cycle Time / Story Points","Todo Days","In Dev Days","Waiting Days","Testing Days","Block Days","Review Days","OriginCycleTime: TODO","OriginCycleTime: TESTING","OriginCycleTime: WAIT FOR TEST","OriginCycleTime: DOING","OriginCycleTime: BLOCKED","OriginCycleTime: REVIEW","Rework: total - In dev","Rework: from Block","Rework: from Review","Rework: from Waiting for testing","Rework: from Testing","Rework: from Done"
"ADM-955","[FE] optimize loading timing of date picker in metrics & report page","Bug","Done","2024-06-05","1.0","Man Tang","Yufan Wang","ADM","Auto Dora Metrics","High","Charting","Sprint37","1.1.7","3.03","","","","","","","None","1.0","","","","3.03","3.84","2.00","0.14","0.74","0.15","0","3.84","0.74","0.14","2.00","0.15","0","1","1","0","0","0","0"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ADM-977","[BE] improve Collection Date for Chinese & Vietnam holiday","Task","Doing","2024-06-24","3.0","Man Tang","Yufan Wang","ADM","Auto Dora Metrics","Medium","Precise on Metrics","Sprint 39","","0","1.0","","","","","","None","3.0","","","","0","1.01","1.99","0","0","0","0","1.01","0","0","1.99","0","0",,,,,,
"ADM-969","[FE&BE] cycle time should include the state of ‘analysis’","Story","Doing","2024-06-21","3.0","YinYuan Zhou","Yufan Wang","ADM","Auto Dora Metrics","Medium","Precise on Metrics","Sprint 39","","0","","","","","","","None","3.0","","","","0","3.72","3.00","0","0","0","0","3.72","0","0","3.00","0","0",,,,,,
